23.08.2023 19:09:17.665 [SpringApplicationShutdownHook] INFO  c.z.h.HikariDataSource - HikariPool-1 - Shutdown initiated...
23.08.2023 19:09:17.666 [SpringApplicationShutdownHook] INFO  c.z.h.HikariDataSource - HikariPool-1 - Shutdown completed.
23.08.2023 21:55:58.003 [background-preinit] INFO  o.h.v.i.util.Version - HV000001: Hibernate Validator 6.2.5.Final
23.08.2023 21:55:58.007 [restartedMain] INFO  c.e.o.OnlineResellingProjectApplication - Starting OnlineResellingProjectApplication using Java 17.0.7 on MacBook-Pro-Oleg.local with PID 5077 (/Users/olegmetelev/IdeaProjects/OnlineResellingProject/target/classes started by olegmetelev in /Users/olegmetelev/IdeaProjects/OnlineResellingProject)
23.08.2023 21:55:58.007 [restartedMain] INFO  c.e.o.OnlineResellingProjectApplication - Starting OnlineResellingProjectApplication using Java 17.0.7 on MacBook-Pro-Oleg.local with PID 5077 (/Users/olegmetelev/IdeaProjects/OnlineResellingProject/target/classes started by olegmetelev in /Users/olegmetelev/IdeaProjects/OnlineResellingProject)
23.08.2023 21:55:58.007 [restartedMain] INFO  c.e.o.OnlineResellingProjectApplication - No active profile set, falling back to 1 default profile: "default"
23.08.2023 21:55:58.007 [restartedMain] INFO  c.e.o.OnlineResellingProjectApplication - No active profile set, falling back to 1 default profile: "default"
23.08.2023 21:55:58.035 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
23.08.2023 21:55:58.035 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
23.08.2023 21:55:58.407 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
23.08.2023 21:55:58.437 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 26 ms. Found 3 JPA repository interfaces.
23.08.2023 21:55:58.742 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
23.08.2023 21:55:58.747 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
23.08.2023 21:55:58.747 [restartedMain] INFO  o.a.c.c.StandardService - Starting service [Tomcat]
23.08.2023 21:55:58.747 [restartedMain] INFO  o.a.c.c.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.78]
23.08.2023 21:55:58.779 [restartedMain] INFO  o.a.c.c.C.[.[.[/] - Initializing Spring embedded WebApplicationContext
23.08.2023 21:55:58.779 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 744 ms
23.08.2023 21:55:58.892 [restartedMain] INFO  c.z.h.HikariDataSource - HikariPool-1 - Starting...
23.08.2023 21:55:58.938 [restartedMain] INFO  c.z.h.HikariDataSource - HikariPool-1 - Start completed.
23.08.2023 21:55:59.025 [restartedMain] INFO  liquibase.database - Set default schema name to public
23.08.2023 21:55:59.077 [restartedMain] INFO  l.lockservice - Successfully acquired change log lock
23.08.2023 21:55:59.151 [restartedMain] INFO  liquibase.changelog - Reading from public.databasechangelog
23.08.2023 21:55:59.175 [restartedMain] INFO  l.lockservice - Successfully released change log lock
23.08.2023 21:55:59.209 [restartedMain] INFO  o.h.j.i.u.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
23.08.2023 21:55:59.232 [restartedMain] INFO  o.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
23.08.2023 21:55:59.298 [restartedMain] INFO  o.h.a.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
23.08.2023 21:55:59.343 [restartedMain] INFO  o.h.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
23.08.2023 21:55:59.637 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
23.08.2023 21:55:59.642 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
23.08.2023 21:55:59.653 [restartedMain] INFO  c.e.o.s.i.FilesServiceImpl - File service init method
23.08.2023 21:55:59.653 [restartedMain] INFO  c.e.o.s.i.FilesServiceImpl - File service init method
23.08.2023 21:55:59.951 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
