23.08.2023 22:03:14.360 [SpringApplicationShutdownHook] INFO  c.z.h.HikariDataSource - HikariPool-1 - Shutdown initiated...
23.08.2023 22:03:14.361 [SpringApplicationShutdownHook] INFO  c.z.h.HikariDataSource - HikariPool-1 - Shutdown completed.
23.08.2023 23:16:41.786 [background-preinit] INFO  o.h.v.i.util.Version - HV000001: Hibernate Validator 6.2.5.Final
23.08.2023 23:16:41.790 [restartedMain] INFO  c.e.o.OnlineResellingProjectApplication - Starting OnlineResellingProjectApplication using Java 17.0.7 on MacBook-Pro-Oleg.local with PID 5965 (/Users/olegmetelev/IdeaProjects/OnlineResellingProject/target/classes started by olegmetelev in /Users/olegmetelev/IdeaProjects/OnlineResellingProject)
23.08.2023 23:16:41.790 [restartedMain] INFO  c.e.o.OnlineResellingProjectApplication - Starting OnlineResellingProjectApplication using Java 17.0.7 on MacBook-Pro-Oleg.local with PID 5965 (/Users/olegmetelev/IdeaProjects/OnlineResellingProject/target/classes started by olegmetelev in /Users/olegmetelev/IdeaProjects/OnlineResellingProject)
23.08.2023 23:16:41.790 [restartedMain] INFO  c.e.o.OnlineResellingProjectApplication - No active profile set, falling back to 1 default profile: "default"
23.08.2023 23:16:41.790 [restartedMain] INFO  c.e.o.OnlineResellingProjectApplication - No active profile set, falling back to 1 default profile: "default"
23.08.2023 23:16:41.812 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
23.08.2023 23:16:41.812 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
23.08.2023 23:16:42.193 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
23.08.2023 23:16:42.224 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 26 ms. Found 3 JPA repository interfaces.
23.08.2023 23:16:42.562 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
23.08.2023 23:16:42.567 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
23.08.2023 23:16:42.568 [restartedMain] INFO  o.a.c.c.StandardService - Starting service [Tomcat]
23.08.2023 23:16:42.568 [restartedMain] INFO  o.a.c.c.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.78]
23.08.2023 23:16:42.602 [restartedMain] INFO  o.a.c.c.C.[.[.[/] - Initializing Spring embedded WebApplicationContext
23.08.2023 23:16:42.602 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 790 ms
23.08.2023 23:16:42.714 [restartedMain] INFO  c.z.h.HikariDataSource - HikariPool-1 - Starting...
23.08.2023 23:16:42.760 [restartedMain] INFO  c.z.h.HikariDataSource - HikariPool-1 - Start completed.
23.08.2023 23:16:42.847 [restartedMain] INFO  liquibase.database - Set default schema name to public
23.08.2023 23:16:42.895 [restartedMain] INFO  l.lockservice - Successfully acquired change log lock
23.08.2023 23:16:42.975 [restartedMain] INFO  liquibase.changelog - Reading from public.databasechangelog
23.08.2023 23:16:42.998 [restartedMain] INFO  l.lockservice - Successfully released change log lock
